dataset,epsilon,seed,arm,squared_discrepancy,ellipsoid_ratio,max_standardized_coordinate,tube_ratio,slack,inside,num_active_tube_coordinates,kl_to_product_prior
adult,0.3,2,wp9_control,10861.685726148258,0.795203881345839,5.176622546717719,1.0860414103135427,0.08604141031354273,False,0,9.29280425449929
adult,0.3,2,rce_v1,11576.432829651805,0.8475318242836862,4.452440793472325,0.9341100370059325,0.0,True,0,7.370567724917479
br2000,0.1,0,truth,3543.3835074597155,0.9569704100227312,3.706808899784386,0.8252820585112098,0.0,True,0,5.420479344269751
br2000,0.1,0,initial,5238.644577814182,1.4148137899948137,15.831521086378709,3.5247218469477137,2.5247218469477137,False,0,5.096587855282649
br2000,0.1,0,wp9_control,2752.827679292285,0.7434630283253956,3.367611603267074,0.7497633439835935,0.0,True,0,5.939903741211807
br2000,0.1,0,rce_v1,3702.3994523656725,0.9999162423540163,4.271494907925719,0.9510034657406098,0.0,True,0,3.6249390258064023
br2000,0.1,1,truth,3479.2755789796392,0.9396566220925988,3.713096139159615,0.8266818463055694,0.0,True,0,5.24329048389977
br2000,0.1,1,initial,5097.587599043062,1.3767181803812947,12.731136563779476,2.8344538050381836,1.8344538050381836,False,0,4.97812779647368
br2000,0.1,1,wp9_control,2692.362078878441,0.727132933008733,3.689727045432179,0.8214789630983876,0.0,True,0,5.92604432084191
br2000,0.1,1,rce_v1,3702.6754545186395,0.999990782942958,3.7580497776389374,0.836690301638657,0.0,True,0,3.433477151111393
br2000,0.1,2,truth,3624.251711781526,0.9788106873973712,4.437640323355898,0.9879939969941615,0.0,True,0,5.494548174894147
br2000,0.1,2,initial,5262.066358758882,1.4211393687155265,14.40936118993001,3.208092886943452,2.208092886943452,False,0,5.102927297043072
br2000,0.1,2,wp9_control,2778.3997139345565,0.7503693314182476,4.2721145139654295,0.9511414145158886,0.0,True,0,6.10791439778253
br2000,0.1,2,rce_v1,3702.646455494737,0.9999829511043393,4.485845821270995,0.9987264446672107,0.0,True,0,3.4506610436909964
br2000,0.3,0,truth,3543.3834616985823,0.956970397663908,3.7068096805054744,0.825282232330558,0.0,True,0,5.112830538185534
br2000,0.3,0,initial,17278.723972671636,4.666508022624802,45.542602088314204,10.139581893090604,9.139581893090604,False,0,4.874168322732732
br2000,0.3,0,wp9_control,1986.6799240319526,0.5365475956757979,3.265941603593896,0.7271275866819438,0.0,True,0,5.639021751071882
br2000,0.3,0,rce_v1,3557.6945922355467,0.9608354403354155,4.489749053481069,0.9995954583121722,0.0,True,0,4.142148223830004
br2000,0.3,1,truth,3479.2756096343373,0.9396566303715894,3.713096074710096,0.8266818319565611,0.0,True,0,5.098024090544664
br2000,0.3,1,initial,16937.819944668903,4.574439222629157,41.90503758910934,9.329716372899988,8.329716372899988,False,0,4.7900616657084605
br2000,0.3,1,wp9_control,1940.5479549148436,0.524088619866881,3.640104622485501,0.8104310519530005,0.0,True,0,5.6526233030993165
br2000,0.3,1,rce_v1,3080.191405578649,0.8318749653091578,4.490627840617921,0.9997911110358226,0.0,True,0,4.168587304653632
br2000,0.3,2,truth,3624.2517516800935,0.9788106981728768,4.437640416826421,0.9879940178043916,0.0,True,0,5.108135424527536
br2000,0.3,2,initial,17315.241143435116,4.676370305892991,44.10284639158627,9.819035413012285,8.819035413012285,False,0,4.851756436196806
br2000,0.3,2,wp9_control,1966.8796363205765,0.5312000826533343,4.113549211774266,0.9158385158397828,0.0,True,0,5.711709412404134
br2000,0.3,2,rce_v1,2583.622191286442,0.6977652807081377,4.4824437976910625,0.9979690198581482,0.0,True,0,4.325438480876529
